University;Name;Brief overview;Industry;Overview of innovation;Technology benefits;Technology applications;Technology readiness level (TRL)
UP;"A SYSTEM FOR MONITORING
VENTILATED PATIENTS
REMOTELY";"A centralised monitoring system assisting medical personnel to monitor multiple
ventilated patients simultaneously";Healthcare;"We have developed a universal, non-invasive remote
condition monitoring system for ventilators.
It will allow an already stretched health system, with limited
human resources and a potential heterogeneous/ multibrand fleet of ventilators, the ability to monitor their working
(and the patients’ respiratory function) remotely. This will
allow fewer medical personnel to monitor more patients and
still provide proper care levels.
The non-invasive nature of our system makes it applicable
to all makes and models of ventilators (i.e. brand agnostic
plug and play), requiring no modification to existing
equipment.";"Cost effective, minimal hardware.
• Non-invasive.
• Enable medical personnel to manage multiple
patients simultaneously.
• Automatic parameter detection.
• Intelligent alarming.
• Monitoring can be done off-site.
• Cloud data storage and availability. ";The ability to remote monitor patients unlocks significant opportunities and value in ICUs during pandemics, and for the home care market;6
UP;"ALGORITHM TO DIGITALLY MONITOR
OVERLOADING OF TRUCKS WHILE
MINIMISING CONGESTION AT
WEIGH BRIDGES";Cost savings for toll road operator, and reduced waiting time for heavy vehicles.;Logistics;"This novel system allows for digital monitoring of payloads
on heavy vehicles and avoids repetitive, physical weighing
of compliant vehicles at static weigh bridges to check
overloading status.
This is achieved by digitally linking all weigh bridges and
existing or new cameras on a specific corridor. Once a truck
is weighed and photographed, the system digitally
recognizes any visual changes and undue delays, while the
vehicle is in transit.
Only exceptions (with visual changes, undue delay,
stoppages and detours) are referred to the static weigh
bridge for re-testing, saving time and money";"Cost effective, digital, centrally monitored law
enforcement.
• Easy to integrate into existing systems.
• Advances prolonged pavement surfaces.";"Ideal for management of toll roads and logistics
corridors, including self-policing industries such as
mining and forestry, especially in developing
countries.
Assist with management of tarred road
maintenance.";8
UP;GREEN COAL – ENVIRONMENTALLY FRIENDLY COAL BRIQUETTES WITH LOW SULPHER EMISSIONS;"Transforming coal fine waste into valuable energy with lower emissions and
higher efficiency.";Energy, climate;"Green Coal is environmentally friendly coal briquettes
produced from discard fine coal, bio-char material, and
proprietary chemical binders. The briquette reduces sulphur
emissions during combustion by approximately 50%, while
also increasing the burning effectiveness.
The bio-char addition to the formulation is considered a
renewable energy source and therefore carbon credits can be
claimed for the reduction in the CO2 production. The use of
Green Coal provides an efficient system for greener coal
gasification, which is ideal for use in electricity generation and
other industrial steam raising applications";"Waste to energy
• Lower emissions
• Higher efficiency
• Mechanically robust
• Water resistant";"South Africa produces 255 million tonnes of coal annually, of
which 60 million tonnes are not usable due to its perceived
poor quality. These 60 million tonnes of discarded coal also
contain at least 15 million tonnes of fine coal. This coal is not
used and is therefore stored on mine sites. The coal still has
a lot of energy (higher heating value of 16 MJ/kg) associated
with it but cannot be used in the current equipment. Therefore,
by using the fine coal during the production of Green Coal, the
unusable discarded coal can be processed into a usable
product. This allows mines to increase their coal reserves
through the utilization of discarded coal.
The end product will primarily be offered to industrial coal
users using boilers. Another market potential exists in
electricity generation, providing an alternative to conventional
coal in the power stations. ";8
UP;ACTIVE MATERIAL FOR SIMULTANEOUS CONVERSION AND STORAGE OF SOLAR ENERGY;For solar energy systems capable of sustained and enhanced activity after termination of light exposure.;Energy, climate;"The North-West University (NWU) has pioneered the novel
use of Europium-Tellurium-Oxide (ETO) in the production
clean energy. ETO is a light-chargeable catalyst material
that exhibits sustained and enhanced activity after light
excitation has ended. Its unique characteristics presents
an opportunity for utilisation as a new and efficient type of
active material in photovoltaic (PV) cells for converting and
storage of solar energy. ETO has further applications as
catalyst in the chemical reaction for producing hydrogen
and in fuel cells for generating electricity.";"- Environmentally friendly material for clean energy
solutions.
- Unlike other materials of comparable use, ETO retains
activity after light excitation.
- Enhanced activity for more efficient solar energy
conversion and storage.
- Potential applications in the electronics industry. ";"World use of photovoltaics for energy supply growing
rapidly. The global PV market size is expected to
reach USD 333.72 billion by 2026 at a compound
annual growth rate (CAGR) of 25.1%. The PV
installations in the world grew by 36.8% CAGR
between 2010 and 2018. Si-wafer based PV
technology accounted for about 95% of the total
production in 2017. There is an opportunity for
introducing Europium-Tellurium-Oxide based solar
cells, driven by better value proposition. The global
hydrogen fuel cell market is forecast to reach USD";5
UKZN;"MATHS BOARDGAME FOR IMPROVING MATHS SKILLS
AND ACHIEVEMENT";The game that radically improves mathematical abilities;Education, ECD;"Whartels™ is a maths board game designed for pre-primary
and primary school learners and is aimed at improving
children's maths achievement by focusing on cognitive
aspects (maths concepts, metacognition and information
processing) and neuro-psychological facets (executive
functioning, self-regulation, maths anxiety, maths resilience,
motivation etc).
By using the newest technology maths Whartels™ aims to
facilitate self-directed learning by changing the learners’
mathematical mindset or thinking. It includes principles used
in play therapy (art, biblio-therapy, board games and puppets)
to optimize learning and understanding, including both linear
concepts and thematic methods to improve maths skills.
Children learn by playing, and these ""fun"" experiences, and
memories change a brain's physical structure.";" Improve learners’ maths skills and achievement.
 Facilitate self-directed learning.
 Make learning fun.
 Restores learners’ confidence in maths.";"Maths achievement at school is one of the best predictors of
success at tertiary level. Poor maths achievement at primary
school level is a global problem. Maths is a powerful
gatekeeper, and the door to coursework (qualifications) in
science, medicine, technology, and engineering.
Research has indicated that by American middle school, twothirds of learners will fall behind grade level in their maths
classes. In South Africa, 77% of learners take maths literacy,
which does not give entry to any course in engineering,
technology, or science at post-matric level.
Whartels™ is here to restore learner confidence and assist
learners to excel in mathematics.";8
UKZN;"A DIGITAL SCREENING TOOL
FOR MEASURING ACUTE
MALNUTRITION IN CHILDREN";Accurate digital screening and capturing of paediatric malnutrition measurements;ECD, Healthcare;"This system provides accurate, digital, mid-upper arm
measurements for screening of severe and acute malnutrition
in children, as prescribed by the World Health Organisation
(WHO). The system electronically captures the appropriate
measurements and then proceeds to store and analyse the
data using a smartphone application. Automatic alerts are sent
to healthcare professionals (nurses or dieticians) if outliers in
the data are observed.
This is the first device to take electronic measurements,
analyse and report the data and keep digital records that are
geographically tagged and generate trend-type data over time.";"• Accessible through mobile platforms
• Electronically captures screening
measurements
• Accurate screening records
• Automatic alerts to healthcare professionals";"With private and public health systems globally under financial
pressure, this low-cost solution will avoid expensive
infrastructure procurement. It can be rolled out fast and at low
cost in conjunction with a smart phone. The data generated
through the associated mobile app can enable governments to
trace population wellbeing.
It is best deployed in combination with the Digital Infantometer
(see separate sheet).";8
UKZN;"ACCURATE AND EASY-TO-USE
BABY SCALE TO MONITOR
BABY DEVELOPMENT ";Low-cost baby measuring scale for digital capturing and analysis of infant development;ECD, Healthcare, Nutrition;The Digital Baby Measuring Scale (Infantometer) is a weight and height measuring medical device that automatically captures and records the readings of the infant’s length and weight using sensors. The measurements are captured digitally and sent to an accompanying software application on a mobile device used by the health professional. Automatic alerts are sent to healthcare professionals (nurses and dieticians) to assess and recommend a development plan for the infant. Captured data is analysed, geographically tagged, and tracks development trends of infants individually as well as per geographic groupings.;"• Accessible through mobile platforms
• Low cost
• Accurate screening records";"With private and public health systems globally under
pressure with health budgets, this low-cost solution will solve
expensive infrastructure procurement. It can be rolled out at
low-cost, and the technology can be distributed fast as only a
smart phone is required. The data generated through the app
is also valuable for governments to trace population wellbeing.
This may best be deployed in conjunction with the paediatric
malnutrition measurement tool (see separate sheet).";8
UKZN;A method for producing a building/construction material using waste plastic;;Construction, circular economy;The invention uses plastic waste and Waste Foundry Sand (WFS) to produce building and construction material. The plastic is melted and WFS is used to produce a paste for moulding of building material.;"• The use of two waste materials each with severe environmental impact, therefore reducing environmental pollution from plastic waste
• Provides a use for the Waste Foundry Sand (WFS) otherwise classified as general waste
• Alleviates the costs of waste disposal in landfills relating to shortage of space and environmental restrictions/issues";The product is suitable for use in the building and construction industry. Products such as building bricks and roof tiles can be produced from this material.;5
UKZN;Educational Blocks;A set of language-based building blocks that focus on supporting the fundamentals of language learning in the Foundation Phase. This open-ended resource consists of building blocks of various sizes that depict images, single letters and letter combinations, which can be adapted to different levels and learning contexts in a variety of ways. The product incorporates vocabulary building and phonemic development.;Education, ECD;A set of language-based building blocks that focus on supporting the fundamentals of language learning in the Foundation Phase. This open-ended resource consists of building blocks of various sizes that depict images, single letters and letter combinations, which can be adapted to different levels and learning contexts in a variety of ways. The product incorporates vocabulary building and phonemic development. ;"• Support learners in their learning and holistic development, i.e. physical (fine motor skills and coordination), social (through competitive and cooperative play), emotional and cognitive development
• Designed to be affordable, accessible, durable and contextually relevant
Adaptability of product enhances the functionality and usability of the product and addresses fundamental needs of primary and secondary users";The product is suitable for use by facilitators or teachers, in support of learning activities that are used to address language-based learning problems faced by Foundation Phase learners. The product encourages play-based learning where learners engage in creative, imaginative, manipulative and social play.;5
UKZN;Reusable Sanitary Pad;;femine hygiene;A reusable sanitary pad that is uniquely designed to collect, retain and dispose of menstrual fluid. The reusable pad is used externally, it is hygienic and easy to clean.;"• For long term reuse (up to 10 years)
• Once off payment that is cheaper when compared to monthly purchases
• Easy to clean and no bacterial risks
• Environmentally friendly
• Culturally appropriate";A reusable menstruation device that is best suited for young females starting puberty in order to develop an alternative menstruation management option. This product provides a more sustainable option to poverty stricken areas where monthly costs can significantly be reduced in providing an option for longer (for up to 10 years) use.;5
UKZN;Opart – Unique hinging mechanism for eyewear;;Eyecare, healthcare;The invention consists of a unique hinge mechanism as an alternative to existing spectacle hinge configurations. This mechanism facilitates customisation of spectacle frames while also reducing costs associated with customisation.;"• Simple to manufacture
• Easy to fit and repair
• Extended life of hinging mechanism
• Possibility of affordable customisation of eyewear";Manufacturing simplified eyewear that has the potential to be customised, is easy to assemble and repair and more affordable to the end user.;5
;Rapid Screening of Barley;;Agriculture;A method of rapidly determining germination energy in harvested Barley. The technology presents a disposable pregnancy-test-type format that is fast and ideal for on site testing;"• A simple and inexpensive device for rapid screening
• Can be done by unskilled persons on site";For use by breweries, microbreweries and industries where germination energy is to be determined. Germination of seeds are important to ensure a successful malting process.;4
NWU;Low-Cost Household Wind Turbine;A low-cost, portable, self-aligning rooftop wind turbine designed to capture moderate velocity wind and generate electricity efficiently for household use.;Energy, climate;The portable, self-aligning, low-cost wind turbine comprises an innovative small-radius blade system to ensure maximum torque per small rotating radius. It is constructed using extremely inexpensive components. It is portable and can be installed with ease as an add-on to any premises. The energy generated from the system is channelled directly into the household system via an innovative electronic controller box fitted to the house distribution box.;;For households to reduce reliance on the national grid;6
NWU;Sit/Stand Desk;Innovative multi-functional desk and chair designed to improve dynamic school classroom ergonomics;Education, equipment;"The KUZE (Figure 1) is a multi-functional desk and chair that allows the user to either stand or sit while using it. It is designed to meet current evidence-based recommendations to optimise health and school performance. The KUZE matches the anthropometrics of a wide range of learners from junior to secondary school because it is adjustable to the size of the user as it has 6 height settings. Although initially designed to improve dynamic school classroom ergonomics, the KUZE will also be suitable for the work office or home office.

The KUZE uses an innovative, heigh-adjusting and locking mechanism, it allows the user to change position instantly, thereby not interfering with their work or disrupting other users. It features a slope that facilitates reading and writing, it has also a left and right slide-out panel that enlarges the work surface when using more than one resource. The features make standing and working entirely feasible while enjoying the benefits of reduced sitting time.";"The KUZE

reduces the risk of chronic diseases of lifestyle and some cancers
reduces the risk of developing costly musculoskeletal conditions such as back pain
improves concentration time which optimises academic performance
is space‑saving and durable";"The market for the technology includes:

Private schools
Individual public schools
Schools for children with special needs
Education government
Ergonomic/furniture companies and their clients
Parents and their children
Colleges and higher education institutions
Libraries and community-based IT centers";5
NWU;Separation, Purification and Recovery of Resveratrol from Wine Waste Using Aqueous Two-Phase Separation;The technology relates to a method for separating polyphenolic compounds from biomass, the products resulting from the method and their use;Nutrition, dietary supplements;"The technology described provides an efficient method for separating a polyphenolic compound (such as resveratrol) from biomass, the method comprising feeding the biomass into an aqueous two-phase system with a polymer phase and a salt phase and separating the polymer phase which includes the polyphenolic compound from the salt phase. The polymer used in the process may be a polyether and the salt may be selected from potassium sodium tartrate, sodium citrate, potassium phosphate, ammonium sulphate, and any combinations thereof. 

As illustrated by Figure 1 and Figure 1 biomass is milled prior to feed feeding it to the aqueous two-phase system so that it may be homogenised. The aqueous two-phase system has relative proportions of the polymer-salt solution selected to enhance resveratrol separation from the biomass. The method then includes a step of recovering the polyphenolic compound at least partially from the polymer phase. This step may be performed by protein precipitation to yield a polyphenol-protein precipitate or by the addition of a second polymer phase into a second aqueous two-phase system. The second polymer phase may comprise a carbohydrate. The resveratrol-protein precipitate or resveratrol-polymer solution are then dried to yield a polyphenol containing powder. 

The method allows for recycling of the polymer phase and salt phase in the aqueous two-phase system separating the polyphenolic compound from the biomass. The resveratrol-protein precipitate obtained by protein precipitation and the resveratrol-polymer powder obtained from the second aqueous two-phase system may be used in medicaments and dietary and nutraceutical supplements amongst other applications.";"An efficient method to produce resveratrol or other polyphenolic compounds from biomass.

Resveratrol is a naturally derived compound providing the following benefits:

Anti‑oxidant
Anti-inflammation
Anti‑carcinogenic
Estrogenic
Joint pain relief
Supports immune system
Supports metabolic function
Enhances cognitive function
Promotes cardiovascular health
Lowers blood pressure
Improves cholesterol levels
Skin health";"Nutraceutical and dietary supplements
Medicaments
Cosmetics";8
NWU;Non-Reactive Solvent Assisted Fractional Crystallisation for the Separation of Cannabinoids from Wax;A method of extracting cannabinoids from a waste wax formed during conventional extraction of cannabinoids from Cannabis plants;Cannabinoid processing, Medical cannabinoid;"A method has been developed by which cannabinoids are extracted from a waste wax that is formed during conventional extraction of cannabinoids from Cannabis plants. During medicinal cannabinoid extraction process, cannabinoids are extracted from the plant material into an alcohol phase, which can be regarded as a cold extraction process (i.e., no application of heat). However, cannabinoids are not extracted in pure form since several flavour compounds and waxes are co-extracted. To remove the waxes, the extraction solution is frozen at -40 °C to precipitate the wax in a step called winterisation. This step allows solidification of the waxes, which are then simply filtered out of the solution and removed from the processing stream. Currently, the cannabinoid industry is seeking alternative applications for these wax waste streams. However, because the waxes still entrap significant amounts of cannabinoids, most extraction companies stockpile the waxes with a view of adding value once an effective extraction has been developed to extract the residual cannabinoids. Stellenbosch's solution manages to achieve this extraction and the method can unlock significant value within the cannabinoid industry for commercial extraction/purification facilities.

The extraction is obtained from a non‑reactive solvent assisted fractional crystallisation separating the cannabinoids from wax. The selection of the unique solvent along with optimised processing steps and conditions obtain a greater yield of high quality, medical‑grade cannabinoids.";"Greater yield of cannabinoids recovered from plants
Increased availability of medical grade cannabinoids
Reduced waste waxes with locked cannabinoids
Downstream process that may retrofit into existing cannabinoid processing industry
Minimal capex input";"Medical cannabinoid
Secondary market for cannabis waxes and cannabinoid products
Cannabinoid processing industry";8
NWU;Method for Controlling Pest Infestation;Using small interferance RNA (SiRNA) as means of broad spectrum aphid control in food crops;Agriculture;The novel use of cuticle protein RR1-8 gene sequence to inform the design of siRNA to provide broad spectrum aphid control when applied on food crops. siRNAs are taken up by the crop plant and results in aphid mortality through species-specific RNA-interference when consumed by the aphid pest.;"Exogenous application of siRNA onto crop plants has been shown to effectively control insect numbers. The novel use of cuticle protein RR1-siRNA allows for: (i) the selective control of specific insect pests, or broader application to a range of insects (dependant on design) on various crop species; (ii) no off-target effects on crop plants, the environment or humans and (iii) biodegradability. ";"Crop producers

Seed companies

Farmers";5
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
